,x,m/z,intensity,resolution,noise,S/N
52,3,1033.98583984375,24365788.0,55706.0,17166.599609375,1419.371835683369
53,6,643.9888305664062,20712638.0,71306.0,14821.564453125,1397.4663784991278
54,5,1033.986083984375,23211566.0,55606.0,16665.341796875,1392.804677090542
55,1,643.9886474609375,18572988.0,71306.0,13394.60546875,1386.6020946515607
56,7,1033.986083984375,25587946.0,55906.0,18477.076171875,1384.8482174332785
57,4,1033.9859619140625,22664798.0,55806.0,16452.984375,1377.5493541730177
58,1,1033.98583984375,20496422.0,55606.0,15123.353515625,1355.2828728643885
59,5,643.98876953125,19439360.0,71306.0,14563.3125,1334.8171990403969
60,4,643.98876953125,20041020.0,71306.0,15074.7265625,1329.445009626522
61,7,643.9888305664062,20437668.0,70906.0,16197.634765625,1261.768665346949
62,3,643.9886474609375,19141410.0,70406.0,15377.5380859375,1244.764271954852
63,6,1434.9635009765625,14348648.0,47202.0,16681.396484375,860.1586811655715
64,2,1434.96337890625,12851943.0,47502.0,15154.4248046875,848.0653779762524
65,6,1233.97265625,13970745.0,51106.0,16475.818359375,847.9545413324144
66,2,1233.9725341796875,12509682.0,50706.0,15138.9580078125,826.3238456401256
67,4,1434.9635009765625,13338184.0,47402.0,16715.0859375,797.9728043201992
68,7,1434.963623046875,14522700.0,47402.0,18790.19140625,772.8872839033164
69,3,1434.9632568359375,13522246.0,47402.0,17578.830078125,769.234695363886
70,5,1434.9635009765625,12803188.0,47202.0,16671.435546875,767.9715381438709
71,2,162.9821014404297,8956017.0,141002.0,11900.3818359375,752.5823224389383
72,3,1233.972412109375,12882308.0,51006.0,17475.626953125,737.1585600078503
73,1,1434.963134765625,11312019.0,47302.0,15530.2919921875,728.3841801358598
74,4,1233.9725341796875,11935609.0,51006.0,16515.07421875,722.709982523069
75,1,162.98208618164062,8346098.0,141202.0,11737.912109375,711.0376975249305
76,6,162.9821319580078,9438456.0,139602.0,13468.4619140625,700.782023977456
77,5,162.9821319580078,9057968.0,138802.0,13008.875,696.2914164368556
78,1,1233.972412109375,10569145.0,50806.0,15252.875,692.9280545470936
79,7,162.98214721679688,9962627.0,140802.0,14388.9189453125,692.3818973381277
80,6,1483.9571533203125,11502145.0,46106.0,16730.908203125,687.4788182659223
81,5,1233.97265625,11356742.0,50906.0,16895.32421875,672.1825431083813
82,6,602.9818725585938,9909790.0,71802.0,14775.2109375,670.7037917711623
83,4,162.98211669921875,9263560.0,140602.0,13855.423828125,668.5872705817907
84,7,1233.97265625,12796866.0,51006.0,19144.71484375,668.4281330091305
85,2,602.9817504882812,9148338.0,72202.0,13776.15234375,664.0706179581733
86,2,1483.9569091796875,9723806.0,46206.0,15155.431640625,641.6053485362161
87,7,602.9818725585938,9912156.0,71702.0,15774.203125,628.377606238033
88,3,162.98208618164062,8543392.0,139902.0,13772.1640625,620.3376579910678
89,3,602.9817504882812,9025932.0,71202.0,15014.4375,601.150192939296
90,5,602.9818725585938,8585797.0,72102.0,14289.599609375,600.8423773026574
91,1,602.981689453125,7867309.5,72302.0,13123.4150390625,599.4864504843107
92,4,602.9818725585938,8703506.0,72102.0,14894.013671875,584.3626971039513
93,3,1483.9566650390625,10170139.0,46106.0,17601.689453125,577.7933434789918
94,7,1483.9571533203125,10788623.0,46306.0,18691.5859375,577.1914184315051
95,5,1483.9571533203125,9407382.0,46206.0,16611.490234375,566.3177636244114
96,4,1483.95703125,9464574.0,46206.0,16765.544921875,564.5252834968107
97,6,1383.9630126953125,9154803.0,48206.0,16629.85546875,550.5040628406695
98,2,604.9773559570312,7490600.0,71802.0,13795.443359375,542.9763875555037
99,6,1334.9693603515625,8854173.0,49002.0,16580.341796875,534.0163133228533
100,6,1083.9830322265625,8644735.0,54806.0,16285.13671875,530.8358873061733
101,1,604.977294921875,6828204.0,72102.0,13136.6123046875,519.784236729245
102,3,604.9773559570312,7785687.5,71502.0,15032.1083984375,517.9371578247318
103,6,604.9774780273438,7644893.5,72202.0,14777.466796875,517.3345069952497
104,2,1334.9693603515625,7836528.0,48702.0,15152.369140625,517.1816979425015
105,2,1383.9627685546875,7790947.0,48306.0,15153.3759765625,514.1393582558858
106,1,1483.956787109375,7968340.0,46106.0,15599.763671875,510.7987638534688
107,2,1083.9827880859375,7589295.0,54706.0,14955.515625,507.45792992342916
108,7,604.9774780273438,7885749.5,72102.0,15794.8095703125,499.26208131194204
109,5,604.9774780273438,7076338.5,72102.0,14302.919921875,494.74782342711654
110,4,604.9774780273438,7330652.5,72302.0,14902.80859375,491.8973798720302
111,4,1334.9693603515625,8165551.0,48602.0,16612.1015625,491.54232348499704
112,7,1334.969482421875,8908851.0,48802.0,18991.443359375,469.09815285851903
113,4,1383.9627685546875,7773109.0,48406.0,16662.560546875,466.50147065528995
114,3,1383.962646484375,8114847.5,48106.0,17555.033203125,462.25190269395006
115,5,1383.962890625,7686468.5,48106.0,16733.8359375,459.33691047937583
116,3,1334.9691162109375,7979783.0,48902.0,17532.173828125,455.1508032163635
117,7,1083.9830322265625,8331593.5,54706.0,18651.0,446.7102836309045
118,5,1083.9830322265625,7389037.0,54306.0,16728.345703125,441.7075741458203
119,5,1334.969482421875,7364210.5,48602.0,16793.779296875,438.5082339012481
120,2,476.9617919921875,5597997.5,81806.0,12830.9248046875,436.28947914610904
121,3,1083.9827880859375,7511409.5,54406.0,17255.703125,435.3001118289696
122,4,1083.98291015625,7155372.5,54606.0,16471.853515625,434.3999594952991
123,7,1383.9630126953125,8204612.0,48106.0,18892.837890625,434.27102098151653
124,7,476.96185302734375,6654639.0,82406.0,15614.1494140625,426.19286030442765
125,1,1334.9691162109375,6528124.0,48602.0,15388.501953125,424.2208903690141
126,1,1383.962646484375,6499849.5,48206.0,15457.974609375,420.4851970747805
127,1,1083.9827880859375,6340919.5,54506.0,15160.8642578125,418.24261415258565
128,2,431.98138427734375,5206825.5,86006.0,12569.4013671875,414.24610034272996
129,6,431.9814453125,5865639.5,85306.0,14211.5107421875,412.7386318322646
130,5,476.9618225097656,5649351.5,82906.0,13834.6748046875,408.34725642310525
131,6,476.9618225097656,5789344.5,82506.0,14426.0927734375,401.3106383635501
132,3,431.9812927246094,5457521.0,85506.0,14480.671875,376.883134091456
133,4,476.9617919921875,5362593.5,82506.0,14277.94140625,375.58590187606376
134,3,476.96173095703125,5403276.5,81606.0,14435.4443359375,374.3062128367168
135,2,526.9586181640625,4869937.5,78506.0,13195.5693359375,369.0585359387987
136,1,476.9617004394531,4708866.0,82806.0,12983.7001953125,362.6751949879465
137,7,431.9814453125,5588910.0,85906.0,15477.9736328125,361.0879649098123
138,2,1034.9892578125,5340994.5,55602.0,14893.345703125,358.61616365215536
139,5,431.98138427734375,4816305.5,84906.0,13563.2666015625,355.0992280462258
140,7,526.958740234375,5483663.5,77806.0,15577.5224609375,352.02411126358135
141,6,1034.9892578125,5629885.0,55302.0,16219.6142578125,347.10350755032624
142,1,431.9813537597656,4425724.0,85306.0,12803.1689453125,345.67410762945116
