,x,m/z,intensity,resolution,noise,S/N
55,68,281.24871826171875,954444.1875,53707.0,343.4398498535156,2779.0723409269212
56,19,281.24871826171875,914785.5,54006.0,329.3288879394531,2777.7262593744363
57,75,281.24871826171875,862221.25,53807.0,312.28009033203125,2761.0509817748703
58,69,281.24871826171875,901126.0625,53807.0,330.0960388183594,2729.8905667748986
59,74,281.24871826171875,909937.625,53807.0,334.30615234375,2721.869216646535
60,20,281.24871826171875,884554.5625,53807.0,325.1278991699219,2720.635678323331
61,24,281.24871826171875,855150.125,54007.0,320.4150695800781,2668.8823535070374
62,17,281.24871826171875,857889.125,53906.0,328.7184753417969,2609.7989293360492
63,56,279.2331848144531,993305.1875,53402.0,385.59991455078125,2575.999501081807
64,51,279.2331848144531,940138.375,53502.0,367.4463806152344,2558.5729635596845
65,50,279.23321533203125,956462.25,53502.0,375.7312316894531,2545.602200006969
66,18,281.24871826171875,872492.0,54107.0,345.34375,2526.445027599312
67,15,281.24871826171875,844027.625,54006.0,334.3101501464844,2524.6844124540435
68,57,279.2331848144531,943935.125,53502.0,375.25335693359375,2515.4608414790073
69,61,279.2331848144531,912566.6875,53302.0,366.7366943359375,2488.3430035612205
70,16,281.24871826171875,824198.5,53806.0,341.28564453125,2414.981447965743
71,62,279.2331848144531,875709.1875,53602.0,365.338134765625,2396.9826967606127
72,49,279.2331848144531,880140.1875,53702.0,370.0968933105469,2378.1344923678616
73,66,279.233154296875,846955.0625,53702.0,357.2122802734375,2371.0132861380803
74,36,279.23321533203125,907299.6875,53502.0,384.5396423339844,2359.4438326126665
75,55,279.2331848144531,868740.4375,53402.0,368.3941955566406,2358.18166512461
76,40,279.23321533203125,845184.5625,53502.0,360.1925354003906,2346.4799501202638
77,60,279.2331848144531,832815.6875,53502.0,358.5325012207031,2322.845724347151
78,65,279.233154296875,823537.875,53702.0,354.68096923828125,2321.9116513881295
79,52,279.2331848144531,839338.0,53402.0,363.7572021484375,2307.4127331161226
80,58,279.2331848144531,837086.6875,53802.0,365.9699401855469,2287.3099552263684
81,35,279.2331848144531,837958.75,53602.0,372.2287902832031,2251.192739181876
82,39,279.2331848144531,788737.5625,53502.0,350.92083740234375,2247.6224790142146
83,41,279.23321533203125,830269.875,53502.0,372.75146484375,2227.408751694732
84,37,279.23321533203125,816366.25,53802.0,372.27191162109375,2192.930018397184
85,38,279.2331848144531,800910.5625,53502.0,366.2823486328125,2186.5933902888937
86,67,279.233154296875,759977.25,53502.0,349.9173278808594,2171.876581827233
87,59,279.2331848144531,782157.3125,53602.0,362.5791320800781,2157.204437036534
88,54,279.233154296875,790746.4375,53602.0,367.0072326660156,2154.5799840397044
89,42,279.23321533203125,755261.4375,53602.0,350.6048889160156,2154.166873813663
90,34,279.2331848144531,759027.625,53802.0,360.9267883300781,2102.996091012915
91,44,279.2331848144531,730372.1875,53602.0,348.6722106933594,2094.7244004550957
92,45,279.233154296875,737333.4375,53402.0,353.1616516113281,2087.807195758253
93,63,279.233154296875,730769.8125,53502.0,351.62255859375,2078.27909398811
