"name","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","S80","maxint","Tommy_Day01_T3FS_POS_S20A","Tommy_Day01_T3FS_POS_S20B","Tommy_Day01_T3FS_POS_S20C","Tommy_Day01_T3FS_POS_S20D","Tommy_Day01_T3FS_POS_S40A","Tommy_Day01_T3FS_POS_S40B","Tommy_Day01_T3FS_POS_S80AIO"
"M70T45","70.0651247982562","70.012468334776","70.0651502280121","44.9888578","32.5456118","130.103796","25","7","63368.0625","416291.631015404","119145.069436241","30744.0843249139","13605.1575222933","18848.212979521","19660.0649438533","23078.1913691525"
"M71T58","71.0684713722481","71.0603472872435","71.0855206921306","58.4975442","32.5456118","87.497208","11","6","145836.734375","206544.289690298","124933.302678517","20655.0385051784","22445.7445334106","13243.6539974203","18202.4283090249","114966.946852231"
"M73T1427","72.9369087750911","72.9367778725361","72.9370221466333","1426.6502","1387.0707","1499.9289","55","7","121461.296875","406369.594894319","533819.689167848","204837.667062494","139368.753633829","337812.988948699","105665.306783258","659540.87830584"
"M73T33","72.9369907605922","72.9369650986158","72.9370365063585","32.567197","32.27972","33.080492","7","7","60888.62109375","139395.729415441","111762.235829155","117921.374135044","111765.91172098","159858.786761694","135674.740043372","122278.04822749"
"M73T57","73.06473552899","73.0647172411465","73.0647591966341","56.5724336","33.339469","131.77254","18","7","176312.875","1559088.88015043","743074.504164839","1461072.20420469","806585.517554513","1670612.95173841","1387596.43040598","1560341.44885994"
"M73T318","73.0647385117389","73.0647000263925","73.0647636674113","317.600218","317.064578","375.633528","13","7","234840.4375","855731.732263268","1234295.60497868","783918.626421489","816121.547683916","826087.300645735","791593.290358925","550978.650245723"
"M74T45","73.5316584899372","73.5316311600751","73.5316767233358","44.551781","44.1349202","45.2562418","9","7","20963.736328125","42205.9649459417","25936.2604438964","58185.0609619895","61013.7446464311","47686.4080786467","62341.2777166085","55451.1373474099"
"M74T132","74.0620432977402","74.0427997334168","74.0771335146041","131.835458","129.3591","133.04518","43","7","1876276.75","49516.9013126946","23212.9968651114","9847165.35992483","87366.9934154208","184065.093467023","11296305.0545838","939965.068595236"
"M74T1274","74.0963532930019","74.0599599911048","74.0963899532853","1273.9184","1175.00138","1397.50698","77","7","172256.6875","284766.315208742","532100.70995851","378623.628849814","300815.032036788","588604.270995043","50242.2393417671","1477894.85070089"
"M74T37","74.0599602536792","74.0235310007652","74.0963824369759","37.1244728","32.5456118","54.506168","20","7","52985.0625","584498.234005769","38671.0258086014","499277.449829875","193464.352831999","629232.518972959","461419.621765597","290506.801144247"
"M74T317","74.0680793619835","74.068068149682","74.0680993729038","317.236136","317.097972","317.589454","6","6","31519.134765625","29275.1607427059","28872.4465117263","22770.5613356549","23788.9684895868","22749.6839189948","26726.7051814379","174459.768585654"
"M75T132","75.0569940334432","75.0260076289498","75.0633405273582","131.546478","129.90397","165.127006","19","7","159210.484375","27172.2322836195","497669.102242474","335594.654503497","32839.9139516084","859241.64041965","387041.052850702","29163.887298524"
"M75T33","75.0439849478334","75.0259772125353","75.0440121950831","33.0924768","32.812994","33.389439","9","6","38678.1328125","41483.4811511697","33741.0749355284","87667.4290256366","66748.0063043752","106969.069378143","105471.857112894","39086.5316502886"
"M75T448","75.02597464465","75.0255175480547","75.0260142230325","448.02551","446.37973","489.150174","10","6","32227.123046875","68649.9439000805","52489.5482861399","49617.8051540739","71069.6203935414","63996.0410847087","76153.8817519195","1355.3582683612"
"M78T1401","77.9985737881153","77.9985413740936","77.9986377040302","1401.24697","1386.8036","1437.34634","26","7","186432.625","918161.969608509","1303457.33166781","765383.768093918","283569.159475709","1010552.67954777","406822.496417354","1865269.4770015"
"M79T44","79.0211346331499","79.0177462042899","79.054169114196","44.493212","33.8743348","146.969486","30","7","39542.82421875","41677.5331088794","57454.2188814917","104578.27609951","57823.913010972","52612.2891763216","67406.9830786359","110783.347279385"
"M79T1451","79.0541411189301","79.0211293683329","79.0541684156426","1450.72338","1433.60712","1495.6506","9","5","45790.56640625","218190.754106885","271351.04994742","154148.085225606","66445.2010610998","85896.4507704052","75588.2320750058","21655.5978351514"
"M80T61","80.0493635988239","80.0299858073718","80.0686361030563","60.725769","33.8743348","67.250966","22","7","2716298.75","45704.0364376631","26661.1510545767","19369.0921455149","8544970.93487613","7616011.61745078","5337204.36682411","949584.620172535"
"M81T49","80.9477626842608","80.9477502619051","80.9477896449552","49.2679224","48.9702058","49.672467","10","7","12588.3759765625","37719.5845017308","21532.9593108258","12163.3511485114","33152.9873121984","20940.8926182818","18858.4023733012","14305.4138690196"
"M81T60","81.0527384445149","81.0463840571222","81.069807558346","60.369522","34.9751092","61.455002","17","7","168494.671875","18416.3604551238","28901.9922397233","18708.9238955168","463044.488946655","12734.1720935801","271358.980965267","824581.17976787"
"M82T45_1","81.5203662254719","81.5203408522629","81.5203828654191","44.66242","44.551391","45.0794846","7","7","35585.75","64739.761459045","56013.4097948277","92381.7994182627","80318.0203672134","64845.7874911138","79777.998857283","97876.6328045583"
"M82T45_2","82.0136937597464","82.0136648628123","82.0520791911248","44.5629974","44.284022","49.1375922","10","7","25541.517578125","33179.1870755478","45765.1176372112","63599.4250954221","53124.6261248906","43605.7976175526","56872.1320921811","59025.6662020177"
"M83T45","82.5369759153454","82.5369395002026","82.5369865628204","44.8353688","44.4124182","44.9888578","8","7","60452.05859375","100958.549801214","111613.648562361","157852.895631897","123203.908809755","120604.393628364","144076.981040366","170717.29107665"
"M83T1003","83.0602627756909","83.0602211170799","83.0603085860367","1003.08131","916.13592","1095.5799","94","5","415759.1875","3898658.21908627","2213945.41913277","2717402.15514014","2505524.52208303","497866.740662824","2267104.20578156","2132600.22244737"
"M83T1199","83.0602608000853","83.0602164332342","83.0602988882112","1198.5393","1103.3352","1330.10868","99","5","273884.75","1183525.25060314","1710493.49670595","1223170.90135855","2549457.50021236","835023.467421993","1638692.50076417","1746154.61160099"
"M83T849","83.0602561751511","83.0602321929502","83.085402749385","848.60812","784.29444","912.12234","64","6","379375.84375","3230893.87717812","73871.6015679","45139.7161199819","1207166.22304163","2126474.63555927","1802714.99268631","4037382.2244328"
"M83T728","83.0602659913972","83.0591330542215","83.0602943301769","727.64022","664.39474","777.86946","54","7","449178.03125","3613125.78901531","4986264.61208126","2484934.28173164","3374265.65630177","3563432.96934026","4023387.87319454","5202431.71859293"
"M83T576","83.0602644850209","83.0490166925025","83.0603038309608","575.702074","464.822232","659.9409","77","5","195199.40625","1497477.67898416","1031345.90053488","959771.633232704","748606.015258203","3054018.07827549","942851.508603478","691458.592389279"
"M83T1398","83.0602728324359","83.0602446597112","83.0603117388223","1397.76768","1352.84412","1420.5057","25","7","567743.9375","1426746.11153006","3141029.56667443","1865349.87500464","1562160.99323759","1749632.13827537","2091658.02476048","1450223.44644096"
"M83T402","83.06025837651","83.0602226199149","83.085451534939","401.950873","278.99886","451.862668","36","7","131551.84375","161124.045278215","112537.659567362","158938.065903499","108490.760812036","116646.085476609","108374.732591533","954555.297665148"
"M83T35","83.0490391825248","83.0490098376564","83.0854109618986","35.2166415","32.5456118","40.185768","12","7","28542.7265625","144732.218306525","146008.965952614","137014.125002551","158667.947964556","257021.459974498","186717.421843614","219465.419652778"
"M83T229","83.0854063136768","83.0602502303155","83.0854335008271","229.476634","219.729938","263.346654","9","7","116049.6015625","829483.990420405","325070.555259523","621256.109086709","643874.121949275","524888.248490585","421537.240693399","498689.017465974"
"M84T56","84.0806885178809","84.0442880447747","84.0807262451571","55.976563","32.812994","137.87243","29","7","251229.4375","341260.801283432","948227.359549786","41880.8249676273","541785.775912752","257350.635353016","500627.822581551","274677.713115991"
"M84T226","84.0807100484615","84.080668222188","84.088832887519","226.384268","199.377766","236.324586","6","4","43063.55078125","95875.9369901028","256131.088420881","125797.367327369","13242.8375096048","241075.895043315","121835.693968122","31180.8000483354"
"M85T512","84.7739040405003","84.7738518244866","84.773938071641","511.519002","511.142428","512.261528","5","5","32884.6875","0","58273.0483505046","0","61593.0198573733","21174.3810085236","24885.1058506973","15582.0008221513"
"M85T45","84.9596011403505","84.9595789799538","84.9596187588969","44.66242","44.551391","44.9888578","7","7","41332.41796875","71665.6021045363","86169.9864239284","122607.024423515","100641.362227797","86488.4489614612","100954.35269568","127128.684462355"
"M85T55","85.0646956444391","85.0282519684337","85.1010813175391","54.9345942","32.5456118","170.423296","21","7","72737.671875","190613.250935434","50977.2227469115","427358.413713201","13583.7989784817","90769.2012919361","215596.256493925","1861970.7148947"
"M86T77","86.0963049308483","86.0235060651899","86.0978505181211","77.30841","32.5456118","145.144996","21","7","800479.6875","1061993.34196313","35169.6065867991","4499982.54938332","1629998.17010847","583771.840823966","879663.747889452","1102403.80586371"
"M86T1378","86.0962744576012","86.0962393636736","86.0962927621956","1377.71736","1377.44366","1380.38432","7","7","124795.4765625","173304.877521383","239339.719368791","209963.640226853","184217.633805796","169598.397112696","261121.944716385","184798.889789659"
"M87T32","87.0037636829222","87.0037478431825","87.0039543734595","32.2903198","32.020752","44.9888578","9","7","355248.5","245738.858765806","187175.059869072","247163.704741948","192991.305096174","177603.992281396","265607.715873821","210052.409964102"
"M87T1380","87.0551912659098","87.055083838149","87.0803723368702","1380.11748","1379.04812","1492.44204","10","6","69563.9921875","39388.1634900693","142368.625719019","38499.7538106807","44295.2595673735","65933.8251437784","43207.8966027767","150059.211347697"
"M87T460","87.0439670794911","87.0439358397917","87.043996730043","459.741729","458.344026","460.440468","6","6","27432.46875","85181.8754465988","50048.8363735646","46152.6836741344","71896.5359912937","86631.1694660179","102789.956383801","30837.6293046112"
"M87T677","87.0439868443513","87.0439690156831","87.0439994315645","677.19096","676.78878","677.59116","4","4","14477.94921875","50219.5414279664","39371.4190106812","28294.2983007955","21913.0719837788","35015.3198135479","35872.2036894065","16494.5397672787"
"M87T55","87.080332011316","87.0261973779949","87.0997061424592","54.931461","32.81459","144.54196","35","7","332397.9375","159847.52741853","288632.97671949","376434.980042293","62356.8005172047","165214.907377894","1145662.12758372","637757.03858221"
"M88T601","88.0214484970272","88.0214187257503","88.0214708887247","601.3743","600.87478","601.6419","7","7","24088.765625","72580.7179669946","73862.4752178941","74947.4791462942","74540.7890337252","71796.6518857071","76505.7178019801","69792.1719222503"
"M88T1378","88.0755763886733","88.0755510515912","88.0755963110652","1378.24496","1368.62334","1379.31566","7","7","72059.4921875","284413.30545705","22749.9127167787","208411.292234514","323708.349191758","47306.7548638763","290936.953899009","260906.908708066"
"M88T215","88.0755845302133","88.0214181443867","88.0755965096255","214.94235","159.370474","218.919884","7","6","52069.26953125","337956.773770837","665022.720958772","461365.919790624","448187.608359093","417024.72310237","407255.679822677","338955.027368633"
"M88T707","88.0214364720529","88.02141978817","88.0214602686998","707.2767","706.2669","707.31556","6","5","15818.849609375","37173.8977214582","30790.0943777251","34207.9603693193","22634.0921088604","35173.4100694458","37058.6609945198","42753.1173861832"
"M88T45","88.0311121967236","88.0213988136228","88.0756085963078","44.6711015","32.5456118","62.776374","20","7","72102.046875","72027.4443793917","91399.8919884159","142520.601375073","108763.701219886","123827.943201167","112136.279759057","179653.888260458"
"M89T1398","88.5088447784449","88.5088051114909","88.5088874902303","1398.30924","1388.9493","1425.0253","23","7","174687.171875","2334989.93822824","713508.386582395","830398.109943995","343626.685502417","1450096.47923493","399887.848516407","555155.978829307"
"M89T33","88.9682857070148","88.9682690934792","88.9683105469136","32.5576122","32.5456118","33.1220688","5","5","35661.86328125","37646.4110093625","24242.9698556024","27982.1800763211","36444.3498921014","22486.5407737938","22899.2729015055","29574.5773237986"
"M89T1383","89.0080349958398","89.0080173485104","89.0080533572479","1383.19884","1382.79648","1383.59406","4","4","410417.46875","369746.284225933","303150.868633592","373732.750881622","316699.895491489","412398.010400188","474753.670379817","575352.347581613"
"M89T496","89.0595953588551","89.0595321729476","89.0708557045571","496.068621","495.026928","540.126206","10","7","35283.12109375","194504.795696625","139065.134554632","111529.756646249","146013.534652661","154202.544572832","158656.011184733","77873.3216266977"
"M89T317","89.0595870720867","89.0595694793052","89.0596170584159","317.09943","317.064578","318.145088","7","7","314326.40625","884911.123276207","934252.964764915","815369.429389142","823938.414892036","841354.776963136","799085.840311761","332918.302491364"
"M89T35","89.0595696687939","89.0292000578124","89.0595903281801","35.1269505","33.112698","87.219698","12","7","47583.33984375","241231.5729041","371084.560601075","167123.766081282","179141.615640343","176655.766534507","525304.915577626","366492.356919921"
"M90T1440","89.506539344741","89.5043750553243","89.5065925643453","1439.75683","1386.2687","1500.19746","80","7","226312.921875","1044654.16018855","1034646.65270993","655538.512678973","1245962.65098978","762816.172167519","1191285.09964287","1560495.91088645"
"M90T67","89.5065536937299","89.5064711334213","89.5065799953776","67.322586","32.567197","219.72212","27","5","84496.7734375","493903.258909407","497605.453023092","32563.3651025984","525606.398808368","500466.959439965","489387.622664784","657446.765950086"
"M90T334","89.506527824742","89.5064881134436","89.5065595781231","334.1923","262.81179","403.894272","9","6","341057.78125","707785.289567762","1031366.75515254","67969.2273432217","432233.495563269","1653337.47023796","826634.916587955","943093.136678873"
"M90T1399","90.0082146132418","90.00676183999","90.0082464629129","1398.57462","1387.07478","1409.27376","27","7","179672.421875","571450.766724847","1620167.76749123","1588775.68094058","1069797.5771414","2521161.25940691","2686024.3379108","1073984.17303126"
"M90T32","89.9396465673535","89.9396033253703","89.9396958628398","32.290755","32.27972","32.5576122","7","7","96266.140625","122841.043423845","98807.2147827782","135351.85283614","128084.987598446","128325.635196979","127089.947709711","137417.762751777"
"M90T317","90.062976546697","90.0629418840643","90.0630062926818","317.102317","316.807218","317.634656","8","6","18489.21484375","22937.3405770054","27507.9559705168","26721.0468995014","18833.620793783","18814.8104601346","26864.9912042886","1739.12434247988"
"M91T1124","90.5066839400476","90.5047477490594","90.5067111130433","1124.06513","1000.10904","1219.40058","72","7","301159.125","1281279.26543143","1020045.68396861","5656869.10568867","1992173.38611165","2509699.82252974","1627161.38545623","1438720.32164274"
"M91T1383","90.5066748332878","90.5046525532787","90.506726440728","1383.33258","1383.0633","1413.27788","20","7","3747595.75","426635.710841426","360131.62916786","8019738.49663176","9317580.47020959","8356544.98570692","394038.675073316","334581.209031638"
